;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,Sub_Area,CO_FIPS,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME
1001,1,0.0,0.0,0.00,137.6,127.0,1.4,9.2,137.6,45.1,81.9,0.7,0.7,3.4,2.7,0.6,2.5,0.0,0.0,0.0,0.0,0,0,0,0,72807,0,0,0,0,1,BEAVER,1,Beaver County,1,Eastern Beaver County,367,Beaver,Beaver
1002,2,28.4,89.1,3.14,151.8,133.3,1.7,16.9,159.0,29.7,103.6,0.9,0.8,9.9,3.2,0.7,3.0,0.0,0.0,5.2,1.9,0,0,0,0,45757,0,0,0,0,1,BEAVER,1,Beaver County,1,Eastern Beaver County,367,Beaver,Beaver
1003,3,97.0,432.7,4.46,45.0,33.9,0.4,10.7,77.7,0.5,33.5,0.2,0.2,9.0,0.8,0.2,0.7,0.0,0.0,26.1,6.6,0,0,0,0,45757,0,0,0,0,1,BEAVER,1,Beaver County,1,Eastern Beaver County,367,Beaver,Beaver
1004,4,16.0,53.0,3.31,0.0,0.0,0.0,0.0,13.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,1.1,0,0,0,0,45757,0,0,0,0,1,BEAVER,1,Beaver County,1,Eastern Beaver County,367,Beaver,Beaver
1005,5,97.7,289.0,2.96,641.3,251.8,77.8,311.7,658.3,132.6,119.2,3.5,74.3,2.2,71.7,110.4,127.4,0.0,0.0,10.4,6.6,0,0,0,0,58867,0,0,0,0,1,BEAVER,1,Beaver County,1,Eastern Beaver County,367,Beaver,Beaver
1006,6,237.5,827.5,3.48,101.9,35.2,11.0,55.7,202.5,29.9,5.3,1.9,9.1,7.8,7.0,5.1,35.9,0.0,0.0,84.5,16.1,0,0,0,0,45757,0,0,0,0,1,BEAVER,1,Beaver County,1,Eastern Beaver County,367,Beaver,Beaver
1007,7,207.8,557.0,2.68,300.2,35.9,3.1,261.2,319.5,21.2,14.7,1.6,1.5,17.3,134.4,5.7,103.9,0.0,0.0,5.2,14.1,0,0,0,0,58867,0,0,0,0,1,BEAVER,1,Beaver County,1,Eastern Beaver County,367,Beaver,Beaver
1008,8,146.3,380.0,2.60,195.6,58.2,2.3,135.2,209.7,48.5,9.7,1.2,1.1,0.7,59.1,1.0,74.4,0.0,0.0,4.2,9.9,0,0,0,0,51326,0,0,0,0,1,BEAVER,1,Beaver County,1,Eastern Beaver County,367,Beaver,Beaver
1009,9,120.8,359.8,2.98,24.4,7.0,4.0,13.4,37.8,3.1,3.9,2.8,1.2,0.9,5.0,2.5,4.9,0.0,0.0,5.2,8.2,0,0,0,0,45757,493,0,0,0,1,BEAVER,1,Beaver County,1,Eastern Beaver County,367,Beaver,Beaver
1010,10,94.6,273.6,2.89,131.5,21.0,57.2,53.2,144.1,12.1,8.9,15.7,41.6,26.9,11.8,3.6,11.0,0.0,0.0,6.3,6.4,0,0,0,0,58602,0,0,0,0,1,BEAVER,1,Beaver County,1,Eastern Beaver County,367,Beaver,Beaver
