;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,Sub_Area,CO_FIPS,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME
7001,1,147.3,321.8,2.18,79.9,2.0,16.5,61.5,97.6,1.2,0.7,0.5,15.9,0.7,47.5,1.7,11.6,0.0,0.0,9.6,8.1,0,0,0,0,52326,278,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,244,Helper,Helper
7002,2,54.1,108.5,2.01,30.0,5.5,0.8,23.7,38.8,5.4,0.1,0.1,0.7,0.1,0.3,0.3,23.0,0.0,0.0,5.8,3.0,0,0,0,0,52326,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,244,Helper,Helper
7003,3,195.0,449.0,2.30,22.0,2.1,0.6,19.3,32.7,1.8,0.3,0.2,0.4,0.3,0.8,0.7,17.7,0.0,0.0,0.0,10.7,0,0,0,0,53344,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,244,Helper,Helper
7004,4,137.9,296.1,2.15,4.4,0.2,0.1,4.1,19.7,0.1,0.1,0.0,0.1,0.1,0.2,0.1,3.7,0.0,0.0,7.7,7.6,0,0,0,0,52326,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,244,Helper,Helper
7005,5,84.8,174.0,2.05,40.4,0.0,0.0,40.4,45.0,0.0,0.0,0.0,0.0,1.1,0.0,0.0,39.3,0.0,0.0,0.0,4.6,0,0,0,0,52326,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,244,Helper,Helper
7006,6,99.9,270.5,2.71,57.0,21.2,12.8,23.0,70.2,21.2,0.0,0.0,12.8,0.0,21.6,1.4,0.0,0.0,0.0,7.7,5.5,0,0,0,0,52326,0,187,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,244,Helper,Helper
7007,7,140.3,283.8,2.02,280.1,40.5,51.9,187.8,291.6,8.7,31.8,47.1,4.8,5.4,25.6,41.6,115.2,0.0,0.0,3.9,7.7,0,0,0,0,52326,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,244,Helper,Helper
7008,8,99.2,213.8,2.15,0.0,0.0,0.0,0.0,18.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.5,5.4,0,0,0,0,53072,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,244,Helper,Helper
7009,9,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,52326,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,238,Helper Area,Balance of Carbon
7010,10,42.4,93.1,2.19,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9,2.3,0,0,0,0,59044,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,243,Helper Area,Balance of Carbon
7011,11,14.1,33.7,2.39,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0,0,0,0,52326,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,243,Helper Area,Balance of Carbon
7012,12,60.4,141.8,2.35,63.7,43.8,19.8,0.0,68.9,43.8,0.0,0.0,19.8,0.0,0.0,0.0,0.0,0.0,0.0,1.9,3.3,0,0,0,0,53884,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,243,Helper Area,Balance of Carbon
7013,13,277.3,732.7,2.64,9.7,1.0,0.8,7.9,63.5,0.6,0.4,0.3,0.5,1.9,1.1,0.9,3.9,27.0,0.0,11.6,15.2,0,0,0,0,59044,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,243,Helper Area,Balance of Carbon
7014,14,7.7,18.4,2.39,81.3,0.0,3.8,77.4,83.6,0.0,0.0,3.8,0.0,0.0,0.0,0.0,77.4,0.0,0.0,1.9,0.4,0,0,0,0,67578,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,243,Helper Area,Balance of Carbon
7015,15,41.4,78.2,1.89,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0,0,0,0,68352,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,243,Helper Area,Balance of Carbon
7016,16,22.3,48.2,2.17,0.0,0.0,0.0,0.0,10.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,1.2,0,0,0,0,69253,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,250,Price,Price
7017,17,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,69253,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,250,Price,Price
7018,18,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,78451,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,250,Price,Price
7019,19,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0,0,0,0,78451,0,0,0,0,7,CARBON,1,South Carbon County,1,Southwest Carbon County,250,Price,Price
