;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,Sub_Area,CO_FIPS,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME
17001,1,34.6,82.6,2.39,26.4,22.4,0.5,3.5,33.8,2.9,19.6,0.2,0.3,0.2,1.2,1.2,0.9,0.0,0.0,3.6,3.8,0,0,0,0,63922,0,0,0,0,17,GARFIELD,1,West Garfield County,1,West Garfield County,388,Panguitch,Panguitch
17002,2,20.6,59.2,2.88,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0,0,0,0,63922,0,0,0,0,17,GARFIELD,1,West Garfield County,1,West Garfield County,388,Panguitch,Panguitch
17003,3,29.9,91.7,3.07,71.1,35.1,0.4,35.5,78.0,33.8,1.4,0.2,0.2,0.2,7.9,13.6,13.9,0.0,0.0,3.6,3.3,0,0,0,0,56115,0,0,0,0,17,GARFIELD,1,West Garfield County,1,West Garfield County,388,Panguitch,Panguitch
17004,4,55.1,121.9,2.21,5.0,4.3,0.1,0.6,11.7,0.1,4.2,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.6,6.1,0,0,0,0,56315,0,0,0,0,17,GARFIELD,1,West Garfield County,1,West Garfield County,388,Panguitch,Panguitch
17005,5,28.0,74.5,2.66,9.0,0.1,0.0,8.8,12.1,0.0,0.1,0.0,0.0,0.0,0.1,0.1,8.6,0.0,0.0,0.0,3.1,0,0,0,0,56427,0,0,0,0,17,GARFIELD,1,West Garfield County,1,West Garfield County,388,Panguitch,Panguitch
17006,6,0.0,0.0,0.00,131.2,5.5,40.2,85.5,142.5,1.4,4.1,39.5,0.7,0.6,40.8,3.0,41.2,0.0,0.0,11.3,0.0,0,0,0,0,63922,0,0,0,0,17,GARFIELD,1,West Garfield County,1,West Garfield County,388,Panguitch,Panguitch
17007,7,22.4,81.6,3.64,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0,0,0,0,63922,0,0,0,0,17,GARFIELD,1,West Garfield County,1,West Garfield County,388,Panguitch,Panguitch
17008,8,62.6,139.0,2.22,20.4,16.8,0.4,3.1,30.8,15.4,1.4,0.2,0.3,0.2,1.0,1.1,0.8,0.0,0.0,3.6,6.9,0,0,0,0,56115,213,0,0,0,17,GARFIELD,1,West Garfield County,1,West Garfield County,388,Panguitch,Panguitch
17009,9,33.6,114.8,3.41,67.1,15.3,2.6,49.2,70.8,13.9,1.4,0.0,2.6,0.4,0.1,16.6,32.1,0.0,0.0,0.0,3.7,0,0,0,0,56115,0,0,0,0,17,GARFIELD,1,West Garfield County,1,West Garfield County,388,Panguitch,Panguitch
17010,10,36.4,114.8,3.15,106.6,25.4,0.1,81.1,111.2,15.4,10.0,0.0,0.1,0.0,34.7,7.7,38.6,0.0,0.0,0.6,4.0,0,0,0,0,56115,0,0,0,0,17,GARFIELD,1,West Garfield County,1,West Garfield County,388,Panguitch,Panguitch
17011,11,21.5,63.5,2.95,121.3,64.2,9.8,47.3,123.7,25.1,39.1,0.0,9.8,17.6,19.7,10.0,0.0,0.0,0.0,0.0,2.4,0,0,0,0,56115,0,0,0,0,17,GARFIELD,1,West Garfield County,1,West Garfield County,388,Panguitch,Panguitch
17012,12,40.2,112.8,2.81,45.2,0.4,0.1,44.7,50.2,0.1,0.3,0.0,0.1,1.4,42.9,0.2,0.2,0.0,0.0,0.6,4.4,0,0,0,0,56115,0,0,155,0,17,GARFIELD,1,West Garfield County,1,West Garfield County,388,Panguitch,Panguitch
