;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,Sub_Area,CO_FIPS,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME
19001,1,3.9,10.9,2.82,274.7,148.9,14.6,111.1,318.0,20.0,129.0,4.3,10.3,2.1,28.0,11.6,69.4,0.0,0.0,42.9,0.4,0,0,0,0,71429,0,0,0,0,19,GRAND,1,South Grand County,1,Southeast Grand County,345,Moab,Moab
19002,2,0.0,0.0,0.00,76.4,40.2,4.5,31.7,91.0,6.1,34.2,1.3,3.1,0.6,8.5,3.5,19.1,0.0,0.0,14.6,0.0,0,0,0,0,54077,0,0,0,0,19,GRAND,1,South Grand County,1,Southeast Grand County,345,Moab,Moab
19003,3,107.0,233.5,2.18,27.5,0.8,7.9,18.7,45.7,0.2,0.6,0.0,7.9,0.0,0.3,0.7,17.6,2.8,0.0,5.4,10.0,0,0,0,0,71429,0,0,0,0,19,GRAND,1,South Grand County,1,Southeast Grand County,345,Moab,Moab
19004,4,86.7,221.6,2.56,158.4,64.0,11.9,82.5,176.5,4.3,59.8,0.9,11.0,0.4,5.9,7.7,68.4,0.0,0.0,10.0,8.1,0,0,0,0,37810,0,0,0,0,19,GRAND,1,South Grand County,1,Southeast Grand County,345,Moab,Moab
19005,5,1.0,5.0,5.03,142.8,102.8,2.5,37.5,148.3,3.6,99.2,0.8,1.8,0.4,4.9,2.0,30.1,0.0,0.0,5.4,0.1,0,0,0,0,54077,0,0,0,0,19,GRAND,1,South Grand County,1,Southeast Grand County,345,Moab,Moab
19006,6,5.8,15.8,2.73,9.8,0.3,4.5,5.0,13.9,0.1,0.2,0.0,4.5,0.0,0.1,0.1,4.8,2.8,0.0,0.8,0.5,0,0,0,0,71429,0,0,0,0,19,GRAND,1,South Grand County,1,Southeast Grand County,345,Moab,Moab
19007,7,288.2,700.1,2.43,59.3,11.4,26.1,21.7,91.5,3.1,8.3,16.0,10.1,0.3,4.3,1.8,15.3,0.0,0.0,5.4,26.9,0,0,0,0,71429,0,0,0,0,19,GRAND,1,South Grand County,1,Southeast Grand County,345,Moab,Moab
19008,8,101.4,212.2,2.09,238.3,22.7,4.5,211.1,260.6,6.2,16.5,1.3,3.1,0.6,8.6,3.6,198.2,2.8,0.0,10.0,9.5,0,0,0,0,71429,0,0,0,0,19,GRAND,1,South Grand County,1,Southeast Grand County,345,Moab,Moab
19009,9,121.2,368.1,3.04,105.8,3.9,0.8,101.2,121.7,1.1,2.8,0.2,0.5,0.1,97.3,0.6,3.2,0.0,0.0,4.6,11.3,0,0,0,0,37810,773,0,0,0,19,GRAND,1,South Grand County,1,Southeast Grand County,345,Moab,Moab
19010,10,139.6,313.2,2.24,170.5,17.8,1.0,151.8,188.2,16.0,1.8,0.7,0.3,0.1,38.0,6.1,107.6,0.0,0.0,4.6,13.1,0,0,0,0,37810,0,0,0,0,19,GRAND,1,South Grand County,1,Southeast Grand County,345,Moab,Moab
