;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,Sub_Area,CO_FIPS,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME
29001,1,158.9,330.0,2.08,0.0,0.0,0.0,0.0,42.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.8,7.0,0,0,0,0,75043,0,0,0,0,29,MORGAN,1,Morgan County,1,Morgan City,101,Morgan,Morgan
29002,2,358.1,1059.5,2.96,76.1,2.0,0.5,73.7,172.3,1.4,0.6,0.0,0.4,2.1,2.0,65.1,4.4,0.0,0.0,80.2,15.9,0,0,0,0,114217,0,0,0,0,29,MORGAN,1,Morgan County,1,Morgan City,101,Morgan,Morgan
29003,3,195.8,520.4,2.66,0.0,0.0,0.0,0.0,52.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.5,8.7,0,0,0,0,114217,0,0,0,0,29,MORGAN,1,Morgan County,1,Morgan City,101,Morgan,Morgan
29004,4,464.6,1299.2,2.80,59.3,0.2,0.1,59.0,192.0,0.2,0.1,0.0,0.1,0.2,0.2,28.5,30.0,8.0,0.0,104.1,20.6,0,0,0,0,75043,0,0,0,0,29,MORGAN,1,Morgan County,1,Morgan City,101,Morgan,Morgan
29005,5,0.0,0.0,0.00,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0,0,0,0,75043,0,0,0,0,29,MORGAN,1,Morgan County,1,Morgan City,101,Morgan,Morgan
29006,6,224.5,411.5,1.83,230.0,36.0,1.1,192.8,296.2,35.9,0.2,0.0,1.1,140.6,0.6,0.3,51.3,0.0,0.0,56.3,9.9,0,0,0,0,75043,0,0,0,0,29,MORGAN,1,Morgan County,1,Morgan City,101,Morgan,Morgan
29007,7,17.2,48.7,2.83,616.5,216.3,17.5,382.7,622.4,198.2,18.1,3.9,13.6,79.6,62.4,36.1,204.7,0.0,0.0,5.1,0.8,0,0,0,0,75043,0,0,0,0,29,MORGAN,1,Morgan County,1,Morgan City,101,Morgan,Morgan
29008,8,90.5,199.1,2.20,125.1,124.4,0.0,0.7,152.2,124.4,0.0,0.0,0.0,0.1,0.1,0.1,0.3,0.0,0.0,23.0,4.0,0,0,0,0,75043,0,0,0,0,29,MORGAN,1,Morgan County,1,Morgan City,101,Morgan,Morgan
29009,9,176.0,284.2,1.61,297.9,86.4,2.1,209.4,305.7,42.5,43.8,0.2,1.9,14.7,37.7,14.5,142.5,0.0,0.0,0.0,7.8,0,0,0,0,82706,0,0,0,0,29,MORGAN,1,Morgan County,1,Morgan City,101,Morgan,Morgan
29010,10,114.4,148.3,1.30,45.1,10.6,1.6,32.9,79.3,4.6,6.0,0.2,1.5,7.2,6.9,4.2,14.7,0.0,0.0,29.0,5.1,0,0,0,0,91529,0,0,0,0,29,MORGAN,1,Morgan County,1,Morgan City,101,Morgan,Morgan
