;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,Sub_Area,CO_FIPS,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME
43001,1,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,148748,0,0,0,4,43,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43002,2,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,106299,0,0,0,4,43,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43003,3,33.7,109.8,3.26,3.4,0.0,0.0,3.4,8.7,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.7,4.6,0,0,0,0,148748,0,0,0,4,43,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43004,4,455.0,1421.9,3.12,303.9,1.2,25.7,277.0,386.1,0.5,0.7,0.2,25.5,55.3,15.0,0.3,206.4,0.0,0.0,20.2,62.0,11,0,0,0,149515,0,0,0,4,43,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43005,5,526.1,1585.7,3.01,135.0,0.0,19.0,116.0,217.9,0.0,0.0,15.9,3.1,71.1,0.0,0.0,45.0,0.0,0.0,11.2,71.7,0,0,0,0,177158,0,0,0,4,43,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43006,6,0.0,0.0,0.00,324.3,25.7,96.5,202.1,326.8,22.8,3.0,0.7,95.8,37.4,100.5,29.4,34.8,0.0,0.0,2.4,0.0,0,0,0,0,177902,555,0,0,4,43,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43007,7,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,177902,0,0,0,4,43,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43008,8,0.0,0.0,0.00,540.8,16.4,26.6,497.8,541.8,15.0,1.4,12.5,14.1,338.1,1.0,34.9,123.7,0.0,0.0,1.0,0.0,0,0,0,0,106299,0,0,0,4,43,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43009,9,616.4,1759.7,2.85,202.6,4.8,92.3,105.5,310.0,0.7,4.1,0.4,91.9,17.0,0.7,14.1,73.7,0.0,0.0,23.4,84.0,0,0,0,0,97690,0,0,0,4,43,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43010,10,738.7,1703.1,2.31,183.4,29.3,9.8,144.3,290.4,0.0,29.3,0.3,9.5,37.6,1.2,5.5,100.0,0.0,0.0,6.3,100.7,0,0,0,0,104303,0,0,0,4,43,SUMMIT,1,Snyderville Basin,1,Sum Jer Pine,79,Summit County,Balance of Summit County
43011,11,58.9,206.8,3.51,3.5,0.0,0.0,3.5,13.2,0.0,0.0,0.0,0.0,1.8,0.0,0.0,1.7,0.0,0.0,1.7,8.0,9,0,0,0,106299,0,0,0,4,43,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43012,12,22.2,40.7,1.83,5.2,0.0,0.0,5.2,8.9,0.0,0.0,0.0,0.0,3.5,0.0,0.0,1.6,0.0,0.0,0.7,3.0,1,0,0,0,98270,0,0,0,4,43,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43013,13,59.3,160.2,2.70,1.8,0.0,0.0,1.8,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.3,8.1,0,0,0,0,98270,0,0,0,4,43,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43014,14,26.9,124.9,4.64,55.3,0.2,1.7,53.3,62.1,0.1,0.1,0.0,1.7,0.1,0.1,0.0,53.1,0.0,0.0,3.1,3.7,0,0,0,0,98270,0,0,0,4,43,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43015,15,39.2,117.6,3.00,3.7,0.0,3.6,0.1,9.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3,0,0,0,0,98270,0,0,0,4,43,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43016,16,70.2,206.4,2.94,30.3,0.1,8.5,21.7,41.3,0.0,0.0,0.0,8.5,7.0,0.0,0.7,14.0,0.0,0.0,1.4,9.6,0,0,0,0,98270,0,0,0,4,43,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43017,17,61.4,124.3,2.02,342.8,1.3,2.0,339.5,355.0,0.5,0.8,1.8,0.2,35.4,0.6,0.3,303.3,0.0,0.0,3.8,8.4,44,0,0,0,106299,0,0,0,4,43,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43018,18,74.2,305.7,4.12,47.2,2.7,0.9,43.6,60.8,1.1,1.6,0.4,0.5,14.6,1.2,0.6,27.2,0.0,0.0,3.5,10.1,2,0,0,0,98270,0,0,0,4,43,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43019,19,114.4,401.6,3.51,146.8,10.2,14.6,122.0,163.8,4.9,5.3,0.4,14.3,2.0,1.2,20.9,97.9,0.0,0.0,1.4,15.6,0,0,0,0,98270,0,0,0,4,43,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43020,20,0.0,0.0,0.00,81.5,31.4,0.6,49.5,82.2,29.5,1.9,0.2,0.3,44.9,0.8,0.4,3.5,0.0,0.0,0.7,0.0,0,0,0,0,106299,0,0,0,4,43,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43021,21,84.3,289.3,3.43,64.9,7.9,2.8,54.3,77.5,7.7,0.2,0.0,2.7,0.2,0.1,53.4,0.6,0.0,0.0,1.0,11.5,0,0,0,0,106299,0,0,0,4,43,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43022,22,147.8,294.7,1.99,52.8,27.8,3.3,21.7,75.4,0.1,27.7,0.0,3.2,10.4,2.2,2.9,6.3,0.0,0.0,2.4,20.2,0,0,0,0,106299,0,0,0,4,43,SUMMIT,1,Snyderville Basin,2,Silver Creek,79,Summit County,Balance of Summit County
43023,23,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32104,0,0,0,4,43,SUMMIT,1,Snyderville Basin,3,Kimball Snyder,79,Summit County,Balance of Summit County
