;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,Sub_Area,CO_FIPS,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME
45001,1,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,58176,0,0,0,0,45,TOOELE,1,Eastern Tooele County,1,Great Salt Lake - Tooele,100,Great Salt Lake Area,Balance of Tooele
45002,2,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,58176,0,0,0,0,45,TOOELE,1,Eastern Tooele County,1,Great Salt Lake - Tooele,100,Great Salt Lake Area,Balance of Tooele
45003,3,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,75044,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45004,4,11.3,43.1,3.81,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,0,0,0,0,75044,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45005,5,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,75044,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45006,6,52.9,82.6,1.56,70.0,10.1,26.7,33.2,77.6,6.6,3.6,2.9,23.8,3.8,10.3,5.9,13.3,0.0,0.0,6.7,1.0,0,0,0,0,75044,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45007,7,139.3,418.8,3.01,677.0,42.7,494.9,139.4,710.7,27.7,15.0,12.2,482.7,15.8,43.4,24.5,55.7,0.0,0.0,31.0,2.7,0,0,0,0,75044,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45008,8,292.9,1056.6,3.61,78.1,7.5,4.8,65.8,126.8,4.8,2.6,2.1,2.6,2.8,7.6,4.3,51.1,9.4,0.0,33.6,5.7,0,0,0,0,75044,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45009,9,176.7,440.3,2.49,9.5,1.4,3.6,4.5,19.6,0.9,0.5,0.4,3.2,0.5,1.4,0.8,1.8,0.0,0.0,6.7,3.4,0,0,0,0,75044,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45010,10,191.1,228.9,1.20,20.6,0.0,20.6,0.0,39.4,0.0,0.0,0.0,20.6,0.0,0.0,0.0,0.0,9.4,0.0,5.7,3.7,0,0,0,0,64452,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45011,11,59.7,102.8,1.72,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.2,0,0,0,0,64289,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45012,12,1.0,3.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,71562,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45013,13,48.8,193.6,3.97,0.0,0.0,0.0,0.0,10.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.7,0.9,0,0,0,0,71562,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45014,14,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,75044,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45015,15,144.3,328.5,2.28,131.3,0.7,2.8,127.8,134.7,0.4,0.2,2.5,0.2,0.3,18.0,1.1,108.3,0.0,0.0,0.7,2.8,0,0,0,0,64289,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45016,16,173.6,304.6,1.75,0.0,0.0,0.0,0.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.4,0.0,10.7,3.4,0,0,0,0,64289,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45017,17,178.9,380.9,2.13,97.8,13.2,15.6,69.0,102.9,5.7,7.5,0.2,15.4,0.3,8.5,39.1,21.1,0.0,0.0,1.7,3.5,0,0,0,0,64289,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45018,18,80.3,189.9,2.36,3.6,0.4,0.3,2.8,22.8,0.3,0.1,0.1,0.2,1.6,0.5,0.2,0.6,0.0,0.0,17.6,1.6,0,0,0,0,71562,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45019,19,269.5,674.9,2.50,311.1,199.0,0.9,111.2,321.0,133.2,65.8,0.4,0.5,0.5,65.1,18.4,27.2,0.0,0.0,4.7,5.2,0,0,0,0,71562,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45020,20,297.9,586.2,1.97,61.2,46.6,2.9,11.7,83.0,45.6,1.0,0.8,2.0,1.1,3.0,1.7,5.9,4.7,0.0,11.3,5.8,0,0,0,0,75044,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45021,21,554.2,1246.6,2.25,0.0,0.0,0.0,0.0,87.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.9,10.8,0,0,0,0,75044,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45022,22,734.0,1979.0,2.70,237.3,12.1,158.7,66.4,315.8,7.8,4.2,143.4,15.3,5.5,17.7,6.9,36.2,0.0,0.0,64.3,14.3,0,0,0,0,75044,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45023,23,356.3,524.1,1.47,78.0,0.7,13.3,64.0,85.6,0.5,0.3,0.2,13.1,0.3,39.3,21.5,3.0,0.0,0.0,0.7,6.9,0,0,0,0,70480,804,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45024,24,290.3,515.2,1.77,208.3,70.5,1.4,136.4,215.3,44.8,25.6,0.4,1.1,0.5,94.8,8.4,32.7,0.0,0.0,1.3,5.6,0,0,0,0,70480,0,0,962,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45025,25,365.5,732.6,2.00,59.9,21.8,0.2,38.0,83.4,21.6,0.1,0.1,0.1,2.7,0.3,0.2,34.8,9.4,0.0,7.0,7.1,0,0,0,0,73564,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
45026,26,284.2,628.9,2.21,47.1,4.4,22.2,20.5,63.7,2.9,1.6,9.5,12.8,1.6,4.5,2.6,11.7,9.4,0.0,1.7,5.5,0,0,0,0,82166,0,0,0,0,45,TOOELE,1,Eastern Tooele County,2,Grantsville Area,135,Grantsville,Grantsville
