;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,Sub_Area,CO_FIPS,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME
47001,1,36.5,75.2,2.06,76.1,3.7,24.8,47.5,110.7,3.7,0.0,0.0,24.8,0.0,0.0,0.0,47.5,6.1,23.3,3.6,1.7,0,0,0,0,66588,0,0,0,0,47,UINTAH,1,Northwest Uintah County,1,West Uintah County,198,Ballard,Ballard
47002,2,193.1,634.8,3.29,310.8,133.2,48.9,128.7,343.8,77.6,55.6,40.2,8.6,114.5,0.0,1.0,13.3,6.1,0.1,17.8,9.0,0,0,0,0,66588,0,0,0,0,47,UINTAH,1,Northwest Uintah County,1,West Uintah County,198,Ballard,Ballard
47003,3,68.2,205.6,3.01,33.8,10.4,0.0,23.5,54.0,10.4,0.0,0.0,0.0,9.3,0.0,1.0,13.2,11.9,0.0,5.0,3.2,0,0,0,0,66588,0,0,1032,0,47,UINTAH,1,Northwest Uintah County,1,West Uintah County,198,Ballard,Ballard
47004,4,85.5,345.0,4.03,3.3,0.0,3.3,0.0,28.1,0.0,0.0,2.1,1.2,0.0,0.0,0.0,0.0,11.9,3.3,5.6,4.0,0,0,0,0,66588,0,0,0,0,47,UINTAH,1,Northwest Uintah County,1,West Uintah County,198,Ballard,Ballard
47005,5,62.5,172.5,2.76,13.8,0.0,0.0,13.8,32.8,0.0,0.0,0.0,0.0,0.0,13.8,0.0,0.0,11.9,0.0,4.2,2.9,0,0,0,0,73501,0,0,0,0,47,UINTAH,1,Northwest Uintah County,1,West Uintah County,169,Ballard Area,Balance of Uintah
47006,6,31.7,88.2,2.78,9.9,9.9,0.0,0.0,25.6,9.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9,0.0,2.2,1.5,0,0,0,0,73501,0,0,0,0,47,UINTAH,1,Northwest Uintah County,1,West Uintah County,169,Ballard Area,Balance of Uintah
47007,7,21.1,91.3,4.32,1.1,0.0,1.1,0.0,15.4,0.0,0.0,0.0,1.1,0.0,0.0,0.0,0.0,11.9,0.0,1.4,1.0,0,0,0,0,73501,0,0,0,0,47,UINTAH,1,Northwest Uintah County,1,West Uintah County,169,Ballard Area,Balance of Uintah
47008,8,29.8,108.3,3.64,3.4,0.0,1.0,2.4,18.7,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.4,11.9,0.0,2.0,1.4,0,0,0,0,73501,0,0,0,0,47,UINTAH,1,Northwest Uintah County,1,West Uintah County,169,Ballard Area,Balance of Uintah
47009,9,44.2,164.5,3.72,2.1,0.0,2.1,0.0,19.1,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,12.1,0.0,2.8,2.1,0,0,0,0,73501,0,0,0,0,47,UINTAH,1,Northwest Uintah County,1,West Uintah County,169,Ballard Area,Balance of Uintah
47010,10,66.3,229.6,3.46,7.4,0.0,7.4,0.0,26.9,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,11.9,0.0,4.5,3.1,0,0,0,0,73501,0,0,0,0,47,UINTAH,1,Northwest Uintah County,1,West Uintah County,169,Ballard Area,Balance of Uintah
