;CO_TAZID,Index,TOTHH,HHPOP,HHSIZE,TOTEMP,RETEMP,INDEMP,OTHEMP,ALLEMP,RETL,FOOD,MANU,WSLE,OFFI,GVED,HLTH,OTHR,FM_AGRI,FM_MING,FM_CONS,HBJ,SEC_HOME,CABIN,CONDO,HOTEL,AVGINCOME,Enrol_Elem,Enrol_Midl,Enrol_High,Sub_Area,CO_FIPS,CO_NAME,DISTLRG,DLRG_NAME,DISTMED,DMED_NAME,DISTSML,DSML_NAME,CITY_NAME
57001,1,36.0,86.2,2.40,6.6,0.2,3.3,3.2,10.9,0.0,0.1,0.0,3.3,0.1,0.1,0.2,2.8,0.0,0.0,3.2,1.0,0,0,0,0,85496,0,0,0,0,57,WEBER,1,Ogden Valley,1,Huntsville Area,78,Huntsville,Huntsville
57002,2,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,85496,0,0,0,0,57,WEBER,1,Ogden Valley,1,Huntsville Area,74,Huntsville,Huntsville
57003,3,6.1,16.6,2.71,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0,0,0,0,85496,0,0,0,0,57,WEBER,1,Ogden Valley,1,Huntsville Area,78,Huntsville,Huntsville
57004,4,28.7,59.3,2.07,4.3,0.1,0.0,4.3,9.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,4.1,0.0,0.0,3.9,0.8,0,0,0,0,85496,0,0,0,0,57,WEBER,1,Ogden Valley,1,Huntsville Area,78,Huntsville,Huntsville
57005,5,25.0,74.1,2.97,64.1,18.5,3.8,41.8,65.4,0.3,18.2,0.1,3.7,1.5,13.9,1.7,24.7,0.0,0.0,0.6,0.7,0,0,0,0,85496,0,0,0,0,57,WEBER,1,Ogden Valley,1,Huntsville Area,78,Huntsville,Huntsville
57006,6,17.1,52.5,3.07,0.0,0.0,0.0,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.5,0,0,0,0,85496,0,0,0,0,57,WEBER,1,Ogden Valley,1,Huntsville Area,78,Huntsville,Huntsville
57007,7,49.9,143.2,2.87,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.4,0,0,0,0,85496,0,0,0,0,57,WEBER,1,Ogden Valley,1,Huntsville Area,78,Huntsville,Huntsville
57008,8,32.4,110.3,3.41,3.7,3.6,0.0,0.1,7.9,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,3.2,0.9,0,0,0,0,85496,0,0,0,0,57,WEBER,1,Ogden Valley,1,Huntsville Area,78,Huntsville,Huntsville
57009,9,8.1,21.0,2.60,15.9,4.4,0.4,11.1,18.7,3.3,1.1,0.1,0.3,1.3,0.9,1.4,7.5,0.0,0.0,2.6,0.2,0,0,0,0,85496,0,0,0,0,57,WEBER,1,Ogden Valley,1,Huntsville Area,74,Huntsville Area,Balance of Ogden Valley
57010,10,37.9,124.5,3.29,161.3,53.0,1.4,106.9,163.1,1.0,52.0,0.3,1.2,4.4,3.3,4.9,94.3,0.0,0.0,0.6,1.1,0,0,0,0,99520,0,0,0,0,57,WEBER,1,Ogden Valley,1,Huntsville Area,74,Huntsville Area,Balance of Ogden Valley
